geography,CCAA,wave,period,age_group_scheme,ego_age_group,alter_age_group,ego_population_size,ego_sample_size_LFS,ego_sample_size_DCS,reciprocity,cores_LFS,cores_DCS,noncores_DCS,all_LFS_DCS,all_DCS_DCS
ccaa,Castilla y León,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,358251.65,23025,1029,unweighted,0.4345251724590801,0.45658940359117733,0.511536130132426,0.9460613025915061,0.9681255337236034
ccaa,Castilla y León,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,358251.65,23025,1029,weighted,0.4280092557174338,0.7119702027111193,0.5623454812361197,0.9903547369535535,1.274315683947239
ccaa,Castilla-La Mancha,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,330240.28,23025,1029,none,0.44846500856891225,0.7371111054395948,0.5611386548382218,1.009603663407134,1.2982497602778165
ccaa,Castilla-La Mancha,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,330240.28,23025,1029,unweighted,0.4796862605615522,0.487638316347578,0.551513142842516,1.0311994034040681,1.0391514591900939
ccaa,Castilla-La Mancha,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,330240.28,23025,1029,weighted,0.4698679597251148,0.7371111054395948,0.5611386548382218,1.0310066145633365,1.2982497602778165
ccaa,Cataluña,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1269397.05,23025,1029,none,0.48478388223763397,0.7462134263604625,0.5532585557431906,1.0380424379808246,1.2994719821036531
ccaa,Cataluña,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1269397.05,23025,1029,unweighted,0.48979866071061057,0.4929799308127218,0.5503148143593093,1.04011347506992,1.0432947451720311
ccaa,Cataluña,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1269397.05,23025,1029,weighted,0.4882216386332326,0.7462134263604625,0.5532585557431906,1.0414801943764231,1.2994719821036531
ccaa,Comunitat Valenciana,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,837906.13,23025,1029,none,0.45903928403053934,0.7286994448958259,0.5723042328326985,1.0313435168632379,1.3010036777285245
ccaa,Comunitat Valenciana,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,837906.13,23025,1029,unweighted,0.46640105139223653,0.4769054724197896,0.5421748771426771,1.0085759285349136,1.0190803495624667
ccaa,Comunitat Valenciana,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,837906.13,23025,1029,weighted,0.46408596016328624,0.7286994448958259,0.5723042328326985,1.0363901929959847,1.3010036777285245
ccaa,Extremadura,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,156804.8,23025,1029,none,0.47138416681122014,0.7149601571560883,0.5574606403134494,1.0288448071246696,1.2724207974695378
ccaa,Extremadura,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,156804.8,23025,1029,unweighted,0.4665107190596206,0.47183273825765154,0.535590804631626,1.0021015236912465,1.0074235428892775
ccaa,Extremadura,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,156804.8,23025,1029,weighted,0.46804329616918516,0.7149601571560883,0.5574606403134494,1.0255039364826346,1.2724207974695378
ccaa,Galicia,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,441432.7,23025,1029,none,0.41604061049396657,0.7142422251513033,0.5688298227373386,0.9848704332313052,1.283072047888642
ccaa,Galicia,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,441432.7,23025,1029,unweighted,0.4181161024092687,0.44591421735225695,0.48820955276751005,0.9063256551767788,0.934123770119767
ccaa,Galicia,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,441432.7,23025,1029,weighted,0.4174634122476815,0.7142422251513033,0.5688298227373386,0.9862932349850202,1.283072047888642
ccaa,"Madrid, Comunidad de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1151032.65,23025,1029,none,0.5243565940549124,0.7399640134562262,0.5541871595712616,1.0785437536261742,1.2941511730274877
ccaa,"Madrid, Comunidad de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1151032.65,23025,1029,unweighted,0.5452365447669969,0.48535350874463656,0.536402023981165,1.0816385687481618,1.0217555327258014
ccaa,"Madrid, Comunidad de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1151032.65,23025,1029,weighted,0.5386703238611357,0.7399640134562262,0.5541871595712616,1.0928574834323972,1.2941511730274877
ccaa,"Murcia, Región de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,251840.93,23025,1029,none,0.5168682469525506,0.7405504580672421,0.5447101806006198,1.0615784275531706,1.2852606386678618
ccaa,"Murcia, Región de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,251840.93,23025,1029,unweighted,0.5129536132192651,0.5032113323349001,0.5803138176907253,1.0932674309099903,1.0835251500256255
ccaa,"Murcia, Región de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,251840.93,23025,1029,weighted,0.514184667363632,0.7405504580672421,0.5447101806006198,1.0588948479642517,1.2852606386678618
ccaa,"Navarra, Comunidad Foral de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,105496.03,23025,1029,none,0.5307132410575071,0.7340469095383245,0.5721858700764698,1.102899111133977,1.3062327796147943
ccaa,"Navarra, Comunidad Foral de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,105496.03,23025,1029,unweighted,0.5502310371300227,0.49425569138252856,0.5662436845750455,1.1164747217050683,1.060499375957574
ccaa,"Navarra, Comunidad Foral de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,105496.03,23025,1029,weighted,0.5440931797004305,0.7340469095383245,0.5721858700764698,1.1162790497769004,1.3062327796147943
ccaa,País Vasco,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,347424.77,23025,1029,none,0.5007315684486169,0.7226200001222314,0.5717276427034554,1.0724592111520723,1.2943476428256868
ccaa,País Vasco,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,347424.77,23025,1029,unweighted,0.5186491164691567,0.47160416565417373,0.5520326674308359,1.0706817838999925,1.0236368330850096
ccaa,País Vasco,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,347424.77,23025,1029,weighted,0.5130144969235202,0.7226200001222314,0.5717276427034554,1.0847421396269756,1.2943476428256868
ccaa,"Rioja, La",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,51565.14,23025,1029,none,0.4626278528478736,0.7166308714586838,0.5902434060005959,1.0528712588484694,1.3068742774592796
ccaa,"Rioja, La",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,51565.14,23025,1029,unweighted,0.49269729511061156,0.47207360572748214,0.5484281634583011,1.0411254585689127,1.0205017691857834
ccaa,"Rioja, La",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,51565.14,23025,1029,weighted,0.48324120955103683,0.7166308714586838,0.5902434060005959,1.0734846155516327,1.3068742774592796
ccaa,Andalucía,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,1377730.78,23025,1029,none,0.6990299440069127,0.4420585794790659,0.32436533550965496,1.0233952795165675,0.7664239149887209
